<<<<<<< Updated upstream
title,organization,category,location,subject_area,deadline,grade_level,description,link,source,source_url,scraped_at
Senator Cory Booker Internship,Senator Cory Booker Internship,Internship,"Newark and Camden, New Jersey",Grade 10-12,Various,,True,". Internships are offered in three sessions: spring, summer, and fall. Interns gain firsthand experience working for one of the nation's most influential members of Congress while assisting with general office work and constituent-focused tasks like attending local events, tracking...",https://www.booker.senate.gov/services/internships,General,"Summer, spring, fall, or winter"
The Governor's School of New Jersey in Engineering & Technology,The Governor's School of New Jersey in Engineering & Technology,Research,"New Brunswick, New Jersey",High School,January 10,2027-01-10,True,". Participants take academic courses, engage in research and design projects, present a paper at a symposium, and visit local corporations. Students...",https://soe.rutgers.edu/academics/pre-college-engineering-programs/new-jersey-governors-school-engineering-and-technology,Engineering,Summer
Ocean County Historical Society High School Community Service Program,Ocean County Historical Society High School Community Service Program,Internship,"Toms River, New Jersey",High School,Rolling,,True,activity is a great opportunity for New Jersey high schoolers interested in history and giving back to their communities. Students engaged in this volunteer position assist with a variety of tasks related to the museum's day-to-day operation. Volunteers also...,https://oceancountyhistory.org/support/internships/community-service-information/,Humanities,Year-round
Mercer County Student Internship Program,Mercer County Student Internship Program,Internship,"Trenton, New Jersey",High School,April 12,2027-04-12,True,". Interns take part in a variety of activities that teach new skills, develop existing knowledge and abilities, and explore potential career paths in the public sector. Interns leave the program having gained practical, hands-on, real-world experience, built career readiness, and earned some...",https://www.mercercounty.org/departments/personnel/job-opportunities/mercer-county-internship-program,General,Summer
PUPP Scholars,PUPP Scholars,Scholarship,"Princeton, New Jersey",High School,Students are selected to apply during the spring of their freshman year of high school Princeton University Preparatory Program (PUPP),,True,. Scholars participate in academic...,https://pupp.princeton.edu/,General,Sophomore through senior year
Princeton Summer Journalism Program,Princeton Summer Journalism Program,Summer Program,"Princeton, New Jersey",Grade 11-12,Contact for Deadline,,True,". Participants explore the connection between journalism and critical social and political events, receive college preparation, and help publish the program's annual newspaper, The Princeton Summer Journal .",https://psjp.princeton.edu/about-program/program,Journalism,Summer
Rutgers New Jersey Medical School High School Interns,Rutgers New Jersey Medical School High School Interns,Research,"Newark, New Jersey",High School,December 1,2026-12-01,True,". Students must arrange the internship position themselves-contacting faculty members, proposing a research project, and securing a commitment from a mentor.",https://research-office.njms.rutgers.edu/training-programs/high-school,Medicine,Year-round
Coriell Summer Experience for Students,Coriell Summer Experience for Students,Research,"Camden, New Jersey",High School,May 15,2027-05-15,True,Participants are also invited...,https://www.coriell.org/1/About-Us/Education/Summer-Experience,General,Summer
Partners in Science,Partners in Science,Research,Various,Grade 11-12,Contact for Deadline,,True,". While not an internship in name, participants gain hands-on experience in a college or university lab, immersing themselves in research, growing their network, and developing their science and communication skills. Participants receive a stipend upon successfully...",https://lsc.org/education/educators/partners-in-science,Medicine,Summer
Rutgers Youth Enjoy Science (RUYES),Rutgers Youth Enjoy Science (RUYES),Research,"New Brunswick, New Jersey",Grade 11-12,March 8,2027-03-08,True,. This is a two-year program in which participants receive professional training during the school year and engage in cutting-edge cancer research in mentor-supervised labs over the summer. The program culminates with students presenting a poster and...,https://www.cinj.org/education/rutgers-youth-enjoy-science-ruyes,Medicine,Year-round
NJIT High School STEM Research Programs,NJIT High School STEM Research Programs,Research,"Newark, New Jersey",Grade 11-12,February 27,2027-02-27,True,"research areas: Artificial Intelligence, Machine...",https://research.njit.edu/forstudents,STEM,Summer
Newark Museum of Art's Explorers Teen Program,Newark Museum of Art's Explorers Teen Program,Internship,"Newark, New Jersey",High School,June 15,2026-06-15,True,". The internship program lasts three to four years, with interns committing to 6 hours a week after school during the academic year and 25 hours per week over the summer. They must also devote 60 hours to community service annually. Participants in...",https://newarkmuseumart.org/program/explorers/,Humanities,Year-round
Science Medicine and Related Topics (SMART) Program,Science Medicine and Related Topics (SMART) Program,Summer Program,"Newark, New Jersey",High School,May 9,2027-05-09,True,". Students build the skills needed to advance their knowledge of science while being led by NJ-certified science teachers, New Jersey Medical School Faculty, and medical, dental, and graduate students. The SMART program follows a hybrid...",https://njms.rutgers.edu/education/odace/smart/,Medicine,Year-round
Bergen County Sheriff's Office Internship Opportunities,Bergen County Sheriff's Office Internship Opportunities,Internship,"Hackensack, NewJersey",High School,Rolling,,True,". Students work in a variety of settings, gaining broad exposure to the day-to-day workings of a law enforcement agency and building their skills. Students must be residents of Bergen County to participate in the program.",https://www.bcsd.us/comm-outreach/youth-programs,Law,Year-round
